number,value,datetime_start,datetime_complete,duration,params_add_triangle_prob,params_crossover_prob,params_elitism,params_funsearch_penalty,params_funsearch_temperature,params_mutation_prob,params_num_triangles,params_p_comp,params_p_tri,params_pop_size,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
47,0.904177188873291,2026-09-09 01:58:23.671481,2026-09-09 02:00:53.889701,0 days 00:02:30.218220,0.0023833501639568037,0.6347580309465283,25,0.8047370360430834,0.8051995267327969,0.0743603629605596,99,0.08251187497823255,0.10960701186999386,495,,"{""add_triangle_prob"": 0.0023833501639568037, ""crossover_prob"": 0.6347580309465283, ""funsearch_penalty"": 0.8047370360430834, ""funsearch_temperature"": 0.8051995267327969, ""mutation_prob"": 0.0743603629605596, ""num_triangles"": 99, ""p_comp"": 0.08251187497823255, ""p_tri"": 0.10960701186999386, ""pop_size"": 495}",COMPLETE
48,0.8986836075782776,2026-09-09 02:00:53.890099,2026-09-09 02:03:24.107634,0 days 00:02:30.217535,0.008452347355057368,0.967377316856314,28,0.8891450102835826,5.606797771511558,0.05273459268703713,81,0.025232110307675013,0.2333764900225417,521,,"{""add_triangle_prob"": 0.008452347355057368, ""crossover_prob"": 0.967377316856314, ""funsearch_penalty"": 0.8891450102835826, ""funsearch_temperature"": 5.606797771511558, ""mutation_prob"": 0.05273459268703713, ""num_triangles"": 81, ""p_comp"": 0.025232110307675013, ""p_tri"": 0.2333764900225417, ""pop_size"": 521}",COMPLETE
49,0.8861490488052368,2026-09-09 02:03:24.108029,2026-09-09 02:05:54.354355,0 days 00:02:30.246326,0.005970100651902841,0.6241112578120898,12,0.8305741939204926,1.5119119019950542,0.06543772558773817,94,0.08162954802098406,0.20306184868707394,277,,"{""add_triangle_prob"": 0.005970100651902841, ""crossover_prob"": 0.6241112578120898, ""funsearch_penalty"": 0.8305741939204926, ""funsearch_temperature"": 1.5119119019950542, ""mutation_prob"": 0.06543772558773817, ""num_triangles"": 94, ""p_comp"": 0.08162954802098406, ""p_tri"": 0.20306184868707394, ""pop_size"": 277}",COMPLETE
50,0.9010276794433594,2026-09-09 02:05:54.354760,2026-09-09 02:08:24.565603,0 days 00:02:30.210843,0.006935793681211016,0.5992906077863753,21,0.9462010111597502,3.3718306377581713,0.0582131264921979,92,0.043944516987465675,0.13033424503723898,534,,"{""add_triangle_prob"": 0.006935793681211016, ""crossover_prob"": 0.5992906077863753, ""funsearch_penalty"": 0.9462010111597502, ""funsearch_temperature"": 3.3718306377581713, ""mutation_prob"": 0.0582131264921979, ""num_triangles"": 92, ""p_comp"": 0.043944516987465675, ""p_tri"": 0.13033424503723898, ""pop_size"": 534}",COMPLETE
51,0.8894959688186646,2026-09-09 02:08:24.565968,2026-09-09 02:10:54.770243,0 days 00:02:30.204275,0.0013119914833654663,0.7764750423825794,26,0.7567913686953138,3.1251906530550424,0.05807081788377665,92,0.06893707734787478,0.15748792154273103,456,,"{""add_triangle_prob"": 0.0013119914833654663, ""crossover_prob"": 0.7764750423825794, ""funsearch_penalty"": 0.7567913686953138, ""funsearch_temperature"": 3.1251906530550424, ""mutation_prob"": 0.05807081788377665, ""num_triangles"": 92, ""p_comp"": 0.06893707734787478, ""p_tri"": 0.15748792154273103, ""pop_size"": 456}",COMPLETE
52,0.9010130763053894,2026-09-09 02:10:54.770673,2026-09-09 02:13:24.994397,0 days 00:02:30.223724,0.006584658615271136,0.6620354232240326,17,0.7909579031894435,0.4216857624004161,0.06872560138193153,96,0.06841117800978748,0.11292333861531041,363,,"{""add_triangle_prob"": 0.006584658615271136, ""crossover_prob"": 0.6620354232240326, ""funsearch_penalty"": 0.7909579031894435, ""funsearch_temperature"": 0.4216857624004161, ""mutation_prob"": 0.06872560138193153, ""num_triangles"": 96, ""p_comp"": 0.06841117800978748, ""p_tri"": 0.11292333861531041, ""pop_size"": 363}",COMPLETE
53,0.8953546285629272,2026-09-09 02:13:24.994809,2026-09-09 02:15:55.202127,0 days 00:02:30.207318,0.007470527900206701,0.7656876157323207,24,0.792660547670419,2.4050465833414507,0.05859553559730268,94,0.10983256535663422,0.10402482535939007,496,,"{""add_triangle_prob"": 0.007470527900206701, ""crossover_prob"": 0.7656876157323207, ""funsearch_penalty"": 0.792660547670419, ""funsearch_temperature"": 2.4050465833414507, ""mutation_prob"": 0.05859553559730268, ""num_triangles"": 94, ""p_comp"": 0.10983256535663422, ""p_tri"": 0.10402482535939007, ""pop_size"": 496}",COMPLETE
54,0.9011023044586182,2026-09-09 02:15:55.202511,2026-09-09 02:18:25.426145,0 days 00:02:30.223634,0.0010241331608865367,0.889080104174338,29,0.8830397940507919,3.1527371311485304,0.044815758566801936,98,0.03813072856826434,0.11983548769298047,588,,"{""add_triangle_prob"": 0.0010241331608865367, ""crossover_prob"": 0.889080104174338, ""funsearch_penalty"": 0.8830397940507919, ""funsearch_temperature"": 3.1527371311485304, ""mutation_prob"": 0.044815758566801936, ""num_triangles"": 98, ""p_comp"": 0.03813072856826434, ""p_tri"": 0.11983548769298047, ""pop_size"": 588}",COMPLETE
55,0.894422709941864,2026-09-09 02:18:25.426583,2026-09-09 02:20:55.641066,0 days 00:02:30.214483,9.155012921030145e-05,0.7179066831484674,19,0.8845048518963516,0.9631821289394563,0.06837051574592193,99,0.03068694733026823,0.10797550812584698,446,,"{""add_triangle_prob"": 9.155012921030145e-05, ""crossover_prob"": 0.7179066831484674, ""funsearch_penalty"": 0.8845048518963516, ""funsearch_temperature"": 0.9631821289394563, ""mutation_prob"": 0.06837051574592193, ""num_triangles"": 99, ""p_comp"": 0.03068694733026823, ""p_tri"": 0.10797550812584698, ""pop_size"": 446}",COMPLETE
56,0.8907796144485474,2026-09-09 02:20:55.641553,2026-09-09 02:23:25.845015,0 days 00:02:30.203462,0.0037654856795742812,0.8336822393745006,34,0.898379994938886,1.6046713014656584,0.053544128409959424,84,0.04595210302923368,0.22895435267591657,567,,"{""add_triangle_prob"": 0.0037654856795742812, ""crossover_prob"": 0.8336822393745006, ""funsearch_penalty"": 0.898379994938886, ""funsearch_temperature"": 1.6046713014656584, ""mutation_prob"": 0.053544128409959424, ""num_triangles"": 84, ""p_comp"": 0.04595210302923368, ""p_tri"": 0.22895435267591657, ""pop_size"": 567}",COMPLETE
57,0.8974695801734924,2026-09-09 02:23:25.845468,2026-09-09 02:25:56.041955,0 days 00:02:30.196487,0.003256610025958397,0.5345734427346394,46,0.7817639225378439,0.8285565144158579,0.057219085357562816,100,0.08679081839733663,0.11282388718196207,581,,"{""add_triangle_prob"": 0.003256610025958397, ""crossover_prob"": 0.5345734427346394, ""funsearch_penalty"": 0.7817639225378439, ""funsearch_temperature"": 0.8285565144158579, ""mutation_prob"": 0.057219085357562816, ""num_triangles"": 100, ""p_comp"": 0.08679081839733663, ""p_tri"": 0.11282388718196207, ""pop_size"": 581}",COMPLETE
58,0.8974606394767761,2026-09-09 02:25:56.042397,2026-09-09 02:28:26.281013,0 days 00:02:30.238616,0.0013435600876677122,0.8062439872645818,22,0.9014972324438976,2.0129687686372084,0.0651184084711325,97,0.053402607764760204,0.14680746987788926,440,,"{""add_triangle_prob"": 0.0013435600876677122, ""crossover_prob"": 0.8062439872645818, ""funsearch_penalty"": 0.9014972324438976, ""funsearch_temperature"": 2.0129687686372084, ""mutation_prob"": 0.0651184084711325, ""num_triangles"": 97, ""p_comp"": 0.053402607764760204, ""p_tri"": 0.14680746987788926, ""pop_size"": 440}",COMPLETE
59,0.9032118320465088,2026-09-09 02:28:26.281539,2026-09-09 02:30:56.523555,0 days 00:02:30.242016,0.0016462289148334985,0.7360001173428967,13,0.8772952775070155,2.870936774020673,0.0577907526636866,91,0.02542697156536372,0.10660419726573138,384,,"{""add_triangle_prob"": 0.0016462289148334985, ""crossover_prob"": 0.7360001173428967, ""funsearch_penalty"": 0.8772952775070155, ""funsearch_temperature"": 2.870936774020673, ""mutation_prob"": 0.0577907526636866, ""num_triangles"": 91, ""p_comp"": 0.02542697156536372, ""p_tri"": 0.10660419726573138, ""pop_size"": 384}",COMPLETE
60,0.9053727388381958,2026-09-09 02:30:56.523970,2026-09-09 02:33:26.749506,0 days 00:02:30.225536,0.005557496806880575,0.7625721162127749,25,0.8095221619570212,1.6440402599515258,0.06128842448754959,92,0.015048808665117,0.24651092498554458,311,,"{""add_triangle_prob"": 0.005557496806880575, ""crossover_prob"": 0.7625721162127749, ""funsearch_penalty"": 0.8095221619570212, ""funsearch_temperature"": 1.6440402599515258, ""mutation_prob"": 0.06128842448754959, ""num_triangles"": 92, ""p_comp"": 0.015048808665117, ""p_tri"": 0.24651092498554458, ""pop_size"": 311}",COMPLETE
61,0.9009761214256287,2026-09-09 02:33:26.749947,2026-09-09 02:35:56.960615,0 days 00:02:30.210668,0.002429103296354461,0.764898050058901,25,0.8319658231648965,1.2819183267409517,0.06455236389211974,85,0.023346917420545028,0.15234161202312108,384,,"{""add_triangle_prob"": 0.002429103296354461, ""crossover_prob"": 0.764898050058901, ""funsearch_penalty"": 0.8319658231648965, ""funsearch_temperature"": 1.2819183267409517, ""mutation_prob"": 0.06455236389211974, ""num_triangles"": 85, ""p_comp"": 0.023346917420545028, ""p_tri"": 0.15234161202312108, ""pop_size"": 384}",COMPLETE
62,0.90822434425354,2026-09-09 02:35:56.961005,2026-09-09 02:38:27.160920,0 days 00:02:30.199915,0.00954293351349967,0.8194606436810633,11,0.7811056648592022,0.8824438040355534,0.0609377372259115,83,0.02384594481411239,0.11015902307544523,463,,"{""add_triangle_prob"": 0.00954293351349967, ""crossover_prob"": 0.8194606436810633, ""funsearch_penalty"": 0.7811056648592022, ""funsearch_temperature"": 0.8824438040355534, ""mutation_prob"": 0.0609377372259115, ""num_triangles"": 83, ""p_comp"": 0.02384594481411239, ""p_tri"": 0.11015902307544523, ""pop_size"": 463}",COMPLETE
63,0.9054490923881531,2026-09-09 02:38:27.161333,2026-09-09 02:40:57.401105,0 days 00:02:30.239772,0.005832240167340682,0.8776430096202702,11,0.8800705815637215,0.7768494003093335,0.0696633290309168,81,0.023063555256419236,0.18586802562317525,516,,"{""add_triangle_prob"": 0.005832240167340682, ""crossover_prob"": 0.8776430096202702, ""funsearch_penalty"": 0.8800705815637215, ""funsearch_temperature"": 0.7768494003093335, ""mutation_prob"": 0.0696633290309168, ""num_triangles"": 81, ""p_comp"": 0.023063555256419236, ""p_tri"": 0.18586802562317525, ""pop_size"": 516}",COMPLETE
64,0.895659327507019,2026-09-09 02:40:57.401660,2026-09-09 02:43:27.631962,0 days 00:02:30.230302,0.013665814292768596,0.6474288685238963,10,0.6754272123098368,1.2379909083474427,0.0512102085819783,99,0.040153862207041466,0.20436554163845708,225,,"{""add_triangle_prob"": 0.013665814292768596, ""crossover_prob"": 0.6474288685238963, ""funsearch_penalty"": 0.6754272123098368, ""funsearch_temperature"": 1.2379909083474427, ""mutation_prob"": 0.0512102085819783, ""num_triangles"": 99, ""p_comp"": 0.040153862207041466, ""p_tri"": 0.20436554163845708, ""pop_size"": 225}",COMPLETE
65,0.9047960042953491,2026-09-09 02:43:27.632414,2026-09-09 02:45:57.840552,0 days 00:02:30.208138,0.007472712104287724,0.7572815878199525,11,0.8754584983220197,0.9905503774793324,0.06206428376991919,85,0.02718284653204134,0.17681314729506167,336,,"{""add_triangle_prob"": 0.007472712104287724, ""crossover_prob"": 0.7572815878199525, ""funsearch_penalty"": 0.8754584983220197, ""funsearch_temperature"": 0.9905503774793324, ""mutation_prob"": 0.06206428376991919, ""num_triangles"": 85, ""p_comp"": 0.02718284653204134, ""p_tri"": 0.17681314729506167, ""pop_size"": 336}",COMPLETE
